RucProveedor;CodFactura;ProductoFactura;UnidadFactura;CostoFactura;CodProducto;Producto;Marca;Categoria;UnidadMedidaCompra;FactorVenta;TipoResultado;ScoreFinal;Rank
10072351547;022;QUESO MOZZARELLA LAIVE PORCION 10X250 GRS;BOLSA;105.964;12289;QUESO LAIVE PARMESANO PORCION KG;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.5632205593609934;2
10072351547;022;QUESO MOZZARELLA LAIVE PORCION 10X250 GRS;BOLSA;105.964;3082;QUESO LAIVE MOZZARELLA BOLA 250 GR;LAIVE;LACTEOS;UNIDAD;1.0;ALTERNATIVA;0.5220489776554603;3
10072351547;030;QUESO CHEDDAR LAIVE 24X8 TAJADAS;CAJA;174.8052;1677;QUESO LAIVE CHEDDAR FUNDIDO 12 TAJADAS 227 GR;LAIVE;LACTEOS;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.3226189582117646;1
10072351547;030;QUESO CHEDDAR LAIVE 24X8 TAJADAS;CAJA;174.8052;3386;QUESO LAIVE CHEDDAR FUNDIDO 8 TAJADAS 170 GR;LAIVE;LACTEOS;UNIDAD;1.0;ALTERNATIVA;0.321235313519754;2
10072351547;030;QUESO CHEDDAR LAIVE 24X8 TAJADAS;CAJA;174.8052;46022;QUESO LAIVE;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.2987389238046934;3
10072351547;032;QUESO EDAM LAIVE TAJADA FINA 24X90 GRS;CAJA;106.0112;7492;QUESO LAIVE EDAM TAJADA FINA 90/100 GR;LAIVE;LACTEOS;UNIDAD;1.0;TENTATIVO;0.6876246608338044;1
10072351547;032;QUESO EDAM LAIVE TAJADA FINA 24X90 GRS;CAJA;106.0112;1674;QUESO LAIVE EDAM;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.6221443282051926;2
10072351547;032;QUESO EDAM LAIVE TAJADA FINA 24X90 GRS;CAJA;106.0112;46022;QUESO LAIVE;LAIVE;LACTEOS;KILOGRAMO;1.0;ALTERNATIVA;0.5724416567253803;3
10075562883;AJL;AJI LIMO;KILOS;10.0;69;AJI LIMO;_;VERDURAS;KILOGRAMO;1.0;TENTATIVO;0.5006402134303142;1
10075562883;AJL;AJI LIMO;KILOS;10.0;30479;MENTA KG.;_;VERDURAS;KILOGRAMO;1.0;ALTERNATIVA;0.21633007766099382;2
10075562883;AJL;AJI LIMO;KILOS;10.0;1597;PEREJIL KG.;_;VERDURAS;KILOGRAMO;1.0;ALTERNATIVA;0.2095096148404487;3
10075562883;ALH;ALBAHACA;KILOS;3.0;76;ALBAHACA KG.;_;VERDURAS;KILOGRAMO;1.0;TENTATIVO;0.5509192560088797;1
10075562883;ALH;ALBAHACA;KILOS;3.0;14193;HUACATAY KG.;_;VERDURAS;KILOGRAMO;1.0;ALTERNATIVA;0.22005988581904562;2
